G,Date,Start (ET),,,Opponent,,,Tm,Opp,W,L,Streak
1,Wed Oct 23 2019,7:30p,Box Score,,Memphis Grizzlies,W,,120,101,1,0,W 1
2,Sat Oct 26 2019,5:00p,Box Score,@,Milwaukee Bucks,W,OT,131,126,2,0,W 2
3,Sun Oct 27 2019,7:00p,Box Score,@,Minnesota Timberwolves,L,,109,116,2,1,L 1
4,Tue Oct 29 2019,7:30p,Box Score,,Atlanta Hawks,W,,112,97,3,1,W 1
5,Thu Oct 31 2019,7:00p,Box Score,@,Atlanta Hawks,W,,106,97,4,1,W 2
6,Sun Nov 3 2019,6:00p,Box Score,,Houston Rockets,W,,129,100,5,1,W 3
7,Tue Nov 5 2019,9:00p,Box Score,@,Denver Nuggets,L,,89,109,5,2,L 1
8,Thu Nov 7 2019,9:00p,Box Score,@,Phoenix Suns,W,,124,108,6,2,W 1
9,Fri Nov 8 2019,10:30p,Box Score,@,Los Angeles Lakers,L,,80,95,6,3,L 1
10,Tue Nov 12 2019,7:30p,Box Score,,Detroit Pistons,W,,117,108,7,3,W 1
11,Thu Nov 14 2019,6:00p,Box Score,@,Cleveland Cavaliers,W,,108,97,8,3,W 2
12,Sat Nov 16 2019,8:00p,Box Score,,New Orleans Pelicans,W,,109,94,9,3,W 3
13,Wed Nov 20 2019,7:30p,Box Score,,Cleveland Cavaliers,W,,124,100,10,3,W 4
14,Fri Nov 22 2019,8:00p,Box Score,@,Chicago Bulls,W,,116,108,11,3,W 5
15,Sat Nov 23 2019,7:30p,Box Score,@,Philadelphia 76ers,L,,86,113,11,4,L 1
16,Mon Nov 25 2019,7:30p,Box Score,,Charlotte Hornets,W,,117,100,12,4,W 1
17,Wed Nov 27 2019,8:00p,Box Score,@,Houston Rockets,L,,108,117,12,5,L 1
18,Fri Nov 29 2019,8:00p,Box Score,,Golden State Warriors,W,,122,105,13,5,W 1
19,Sun Dec 1 2019,3:00p,Box Score,@,Brooklyn Nets,W,,109,106,14,5,W 2
20,Tue Dec 3 2019,7:30p,Box Score,@,Toronto Raptors,W,OT,121,110,15,5,W 3
21,Wed Dec 4 2019,7:30p,Box Score,@,Boston Celtics,L,,93,112,15,6,L 1
22,Fri Dec 6 2019,8:00p,Box Score,,Washington Wizards,W,,112,103,16,6,W 1
23,Sun Dec 8 2019,6:00p,Box Score,,Chicago Bulls,W,OT,110,105,17,6,W 2
24,Tue Dec 10 2019,8:00p,Box Score,,Atlanta Hawks,W,OT,135,121,18,6,W 3
25,Fri Dec 13 2019,7:00p,Box Score,,Los Angeles Lakers,L,,110,113,18,7,L 1
26,Sat Dec 14 2019,8:30p,Box Score,@,Dallas Mavericks,W,OT,122,118,19,7,W 1
27,Mon Dec 16 2019,8:00p,Box Score,@,Memphis Grizzlies,L,,111,118,19,8,L 1
28,Wed Dec 18 2019,7:00p,Box Score,@,Philadelphia 76ers,W,,108,104,20,8,W 1
29,Fri Dec 20 2019,8:00p,Box Score,,New York Knicks,W,,129,114,21,8,W 2
30,Mon Dec 23 2019,7:30p,Box Score,,Utah Jazz,W,,107,104,22,8,W 3
31,Fri Dec 27 2019,8:00p,Box Score,,Indiana Pacers,W,,113,112,23,8,W 4
32,Sat Dec 28 2019,8:00p,Box Score,,Philadelphia 76ers,W,OT,117,116,24,8,W 5
33,Mon Dec 30 2019,7:00p,Box Score,@,Washington Wizards,L,,105,123,24,9,L 1
34,Thu Jan 2 2020,7:30p,Box Score,,Toronto Raptors,W,,84,76,25,9,W 1
35,Fri Jan 3 2020,7:00p,Box Score,@,Orlando Magic,L,,85,105,25,10,L 1
36,Sun Jan 5 2020,6:00p,Box Score,,Portland Trail Blazers,W,,122,111,26,10,W 1
37,Wed Jan 8 2020,7:00p,Box Score,@,Indiana Pacers,W,,122,108,27,10,W 2
38,Fri Jan 10 2020,7:30p,Box Score,@,Brooklyn Nets,L,,113,117,27,11,L 1
39,Sun Jan 12 2020,3:30p,Box Score,@,New York Knicks,L,,121,124,27,12,L 2
40,Wed Jan 15 2020,7:30p,Box Score,,San Antonio Spurs,W,,106,100,28,12,W 1
41,Fri Jan 17 2020,8:00p,Box Score,@,Oklahoma City Thunder,W,,115,108,29,12,W 2
42,Sun Jan 19 2020,3:00p,Box Score,@,San Antonio Spurs,L,,102,107,29,13,L 1
43,Mon Jan 20 2020,5:00p,Box Score,,Sacramento Kings,W,OT,118,113,30,13,W 1
44,Wed Jan 22 2020,7:30p,Box Score,,Washington Wizards,W,OT,134,129,31,13,W 2
45,Fri Jan 24 2020,8:00p,Box Score,,Los Angeles Clippers,L,,117,122,31,14,L 1
46,Mon Jan 27 2020,7:30p,Box Score,,Orlando Magic,W,,113,92,32,14,W 1
47,Tue Jan 28 2020,8:00p,Box Score,,Boston Celtics,L,,101,109,32,15,L 1
48,Sat Feb 1 2020,7:00p,Box Score,@,Orlando Magic,W,,102,89,33,15,W 1
49,Mon Feb 3 2020,7:30p,Box Score,,Philadelphia 76ers,W,,137,106,34,15,W 2
50,Wed Feb 5 2020,10:00p,Box Score,@,Los Angeles Clippers,L,,111,128,34,16,L 1
51,Fri Feb 7 2020,10:00p,Box Score,@,Sacramento Kings,L,,97,105,34,17,L 2
52,Sun Feb 9 2020,9:00p,Box Score,@,Portland Trail Blazers,L,,109,115,34,18,L 3
53,Mon Feb 10 2020,10:30p,Box Score,@,Golden State Warriors,W,,113,101,35,18,W 1
54,Wed Feb 12 2020,9:00p,Box Score,@,Utah Jazz,L,,101,116,35,19,L 1
55,Thu Feb 20 2020,7:30p,Box Score,@,Atlanta Hawks,L,,124,129,35,20,L 2
56,Sat Feb 22 2020,8:00p,Box Score,,Cleveland Cavaliers,W,,124,105,36,20,W 1
57,Mon Feb 24 2020,7:00p,Box Score,@,Cleveland Cavaliers,L,OT,119,125,36,21,L 1
58,Wed Feb 26 2020,7:30p,Box Score,,Minnesota Timberwolves,L,,126,129,36,22,L 2
59,Fri Feb 28 2020,8:00p,Box Score,,Dallas Mavericks,W,,126,118,37,22,W 1
60,Sat Feb 29 2020,7:30p,Box Score,,Brooklyn Nets,W,,116,113,38,22,W 2
61,Mon Mar 2 2020,7:30p,Box Score,,Milwaukee Bucks,W,,105,89,39,22,W 3
62,Wed Mar 4 2020,7:30p,Box Score,,Orlando Magic,W,,116,113,40,22,W 4
63,Fri Mar 6 2020,8:00p,Box Score,@,New Orleans Pelicans,L,,104,110,40,23,L 1
